StdBlock,StdLabel,Batch,Rank,Word,Definition,POS,Syllables,Band,Difficulty
,,1,1,ու,[No definition],noun,1,1-100,1.1
,,1,2,որ,[No definition],noun,1,1-100,1.1
,,1,3,են,[No definition],noun,1,1-100,1.1
,,1,8,իր,[No definition],noun,1,1-100,1.1
,,1,9,ան,access-restricted; nayiri; com,noun,1,1-100,1.1
,,1,12,մէջ,[No definition],noun,1,1-100,1.1
,,1,13,նա,[No definition],noun,1,1-100,1.1
,,1,15,մեր,[No definition],noun,1,1-100,1.1
,,1,16,ոչ,[No definition],noun,1,1-100,1.1
,,1,23,ես,access-restricted; nayiri; com,noun,1,1-100,1.1
,,1,24,նոր,[No definition],noun,1,1-100,1.1
,,1,26,մեծ,[No definition],noun,1,1-100,1.1
,,1,30,կամ,[No definition],noun,1,1-100,1.1
,,1,37,չի,[No definition],noun,1,1-100,1.1
,,1,47,ինչ,[No definition],noun,1,1-100,1.1
,,1,48,շատ,[No definition],noun,1,1-100,1.1
,,1,52,հա,[No definition],noun,1,1-100,1.1
,,1,53,էջ,[No definition],noun,1,1-100,1.1
,,2,55,հետ,[No definition],noun,1,1-100,1.1
,,2,56,երբ,[No definition],noun,1,1-100,1.1
,,2,58,եմ,[No definition],noun,1,1-100,1.1
,,2,61,չէ,[No definition],noun,1,1-100,1.1
,,2,71,իմ,[No definition],noun,1,1-100,1.1
,,2,82,օր,[No definition],noun,1,1-100,1.1
,,2,83,բան,[No definition],noun,1,1-100,1.1
,,2,84,ուր,[No definition],noun,1,1-100,1.1
,,2,94,առ,[No definition],noun,1,1-100,1.1
,,2,95,մենք,[No definition],noun,1,1-100,1.1
,,2,100,քան,[No definition],noun,1,1-100,1.1
,,2,134,աս,[No definition],noun,1,101-500,1.9
,,2,138,ըստ,[No definition],noun,1,101-500,1.9
,,2,141,վեր,[No definition],noun,1,101-500,1.9
,,2,143,մոտ,[No definition],noun,1,101-500,1.9
,,2,152,ներ,[No definition],noun,1,101-500,1.9
,,2,157,ինձ,[No definition],noun,1,101-500,1.9
,,2,163,դուրս,[No definition],noun,1,101-500,1.9
,,3,167,տակ,[No definition],noun,1,101-500,1.9
,,3,168,թի,[No definition],noun,1,101-500,1.9
,,3,171,ով,[No definition],noun,1,101-500,1.9
,,3,188,հին,[No definition],noun,1,101-500,1.9
,,3,195,տեղ,[No definition],noun,1,101-500,1.9
,,3,216,մեզ,[No definition],noun,1,101-500,1.9
,,3,223,ետ,access-restricted; nayiri; com,noun,1,101-500,1.9
,,3,239,մարդ,[No definition],noun,1,101-500,1.9
,,3,242,աղ,access-restricted; nayiri; com,noun,1,101-500,1.9
,,3,244,ատ,[No definition],noun,1,101-500,1.9
,,3,255,նաև,[No definition],noun,1,101-500,1.9
,,3,260,մէկ,[No definition],noun,1,101-500,1.9
,,3,274,ձեր,[No definition],noun,1,101-500,1.9
,,3,276,դեռ,[No definition],noun,1,101-500,1.9
,,3,313,ութ,[No definition],noun,1,101-500,1.9
,,3,343,կին,[No definition],noun,1,101-500,1.9
,,3,344,միշտ,[No definition],noun,1,101-500,1.9
,,3,350,պատ,[No definition],noun,1,101-500,1.9
,,4,356,տէր,[No definition],noun,1,101-500,1.9
,,4,5,եւ,access-restricted; nayiri; com,noun,2,1-100,2.0
,,4,10,այն,[No definition],noun,2,1-100,2.0
,,4,11,այդ,[No definition],noun,2,1-100,2.0
,,4,18,այս,[No definition],noun,2,1-100,2.0
,,4,28,համար,[No definition],noun,2,1-100,2.0
